Bill of Lading Number,Arrival Date,Matching Fields,Consignee,Consignee D-U-N-S®,Consignee Global HQ D-U-N-S®,Consignee Domestic HQ D-U-N-S®,Shipper,Shipper D-U-N-S®,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ D-U-N-S®,Carrier,Notify Party,Port of Unlading,Port of Lading,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Manifest Number,Industry - GICS,Industry - GICS Description,HS Code,Goods Shipped,_source_file,_source_dir,Group,Category,Cargo,Cargo Detail,Shipper Unified,Consignee Unified,Notify Unified,Report 1,Report 2,Report 3,Report 4,Report 5,Report 6,Filter,Count,H_Shipper_Unified,H_Shipper_Ultimate_Parent,H_Shipper_SIC_Codes,H_Shipper_Match_Method,H_Shipper_Match_Confidence,H_Shipper_Dict_Key,H_Consignee_Unified,H_Consignee_Ultimate_Parent,H_Consignee_Primary_Region,H_Consignee_Match_Method,H_Consignee_Match_Confidence,H_Consignee_Dict_Key,H_Carrier_Unified,H_Carrier_Type,H_Carrier_Match_Method,H_Carrier_Match_Confidence,H_HS2,H_HS4,H_HS6,H_HS_Parsed,H_HS_Match_Method,H_HS_Match_Confidence,H_Cargo_Group,H_Cargo_Category,H_Cargo_Type,H_Cargo_Detail,H_Cargo_Match_Method_wsd,H_Cargo_Match_Confidence,H_Port_Unlading_Unified,H_Port_Unlading_Region,H_Agency_Market,H_Port_Lading_Unified,H_Port_Lading_Country,H_Country_Code,H_Country_ISO,H_Subregion,H_World_Region,H_Trade_Region,H_Trade_Lane,H_Is_Bulk,H_Weight_Tier,H_Shipper_Dict_Version,H_Shipper_Match_Timestamp,H_Consignee_Dict_Version,H_Consignee_Match_Timestamp,Year,H_Cargo_Match_Method,H_Port_Lading_Region
DMNAGENCOBOU0301,2/19/2023,,Cemex Construction Materials,189840945.0,,,Saudi Cement Co.,,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"CEMEX INC.
10100 KATY FREEWAY, SUITE 300, HOUSTON TX77043 US","Tampa, Florida","Ad Dammam, Saudi Arabia",GENCO BOURGOGNE,3,,1 BLK, ,17000000.0,17000.0,17000 ET,19040000.0,978373.0,15104050,Steel,Classified: 7306.30,"ORDINARY PORTLAND CEMENT IN BULK TYPE I/II LOW ALKALI CONFORMING TO ASTM C 150 (17, 000 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,SAUDI CEMENT,Saudi Cement Company,,exact,1.0,UPSPCIQ_6084420,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,exact,1.0,UPSPCIQ_404061,,,,,73.0,7306.0,730630.0,730630.0,direct,1.0,Steel & Metals,,Tubular Goods,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,Ad Dammam,Saudi Arabia,5170.0, SA,Middle East,Middle East Africa,Energy,MEA → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
ULTH22316802001,2/19/2023,,Tronox Llc,147005453.0,,,Tronox Mineral Sands ( (Pty) ) Ltd.,,,,ULTH - Ultrabulk,"PAGE & JONES INC.
ATT: MICHAEL B. LEE JR, 52 NORTH JACKSON STREET, MOBILEAL 36602, TE251-432-1646","Alabama State Port Authority, Mobile, Alabama","All Other Republic Of South Africa Ports, South Africa",AMIS KALON,2,9520807.0,1 BLK, CM,30076720.0,30076.72,30076720 K,20753000.0,5584.0,15104020,Diversified Metals & Mining,Classified: 2614.00,30076. 72 M/TONS CHLORIDE SLAG,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,TRONOX MINERAL SANDS ( (PTY) ),,3291,exact,1.0,NAME_TRONOXMINERALSANDSPTY,TRONOX HOLDINGS,Tronox Holdings Plc,South Central Region,exact,1.0,UPSPCIQ_22603885,,,,,26.0,2614.0,261400.0,261400.0,direct,1.0,Ferrous Raw Materials,,tio2,Titanium ores and concentrates,hs_based,0.9,Mobile,Gulf,Mobile,All Other Republic Of South Africa Ports,South Africa,7910.0, ZA,Sub-Saharan Africa,Middle East Africa,Bulk Minerals,MEA → Mobile,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DWLAUNIHAR100120,2/18/2023,,Huber Carbonates Llc,2554459.0,,2554459.0,"Lydford Mining Co., Ltd.",,,,DWLA - Dowa Line America Co Ltd,"CARMICHAEL INTL SERVICE
LOGISTICS COORDINATOR IMPORT NY, 20 W LINCOLN AVE STE 300, VALLEY STREAM, NY 11580","Port of Gramercy, Gramercy, Louisiana","Ocho Rios, Jamaica",UNITED HARMONY,10012,,1 BLK, ,33002000.0,33002.0,33002 ET,660000.0,1.0,15102010,Construction Materials,Classified: 2521.00,A QUANTITY OF LIMESTONE,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"LYDFORD MINING .,",,,exact,1.0,NAME_LYDFORDMINING,,,,unmatched,0.0,,,,,,25.0,2521.0,252100.0,252100.0,direct,1.0,Dry Bulk,Mineral Products,,,hs2_chapter,0.6,Lower Miss River,Gulf,Lower Miss River,Ocho Rios,Jamaica,2410.0, JM,Caribbean,Americas,Bulk Minerals,AMER → Lower Miss River,True,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNASPARMIRA0602,2/18/2023,,Roanoke Cement Co. Llc,,,,Titan Cement Company S.A.,728442224.0,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"ROANOKE CEMENT CO LLC
5700 LAKE WRIGHT DRIVE,, SUITE 300, NORFOLK VA23502 US","Tampa, Florida","Elefsis, Greece",SPAR MIRA,6,,1 BLK, ,20000000.0,20000.0,20000 ET,22400000.0,974040.0,15104050,Steel,Classified: 7306.30,"PORTLAND CEMENT TYPE IL CONFORMING WITH THE REQUIREMENTS OF ASTM C595-19 (20, 000. 000 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,TITAN,Titan S.A.,"3241, 3255",exact,1.0,UPSPCIQ_874331,,,,unmatched,0.0,,,,,,73.0,7306.0,730630.0,730630.0,direct,1.0,Steel & Metals,,Tubular Goods,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,Elefsis,Greece,4840.0, GR,Southern Europe,Europe,Manufacturing,EUR → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNASPARMIRA0601,2/18/2023,,The Essex Cement Co. Llc,190757732.0,,,Titan Cement Company S.A.,728442224.0,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"ESSEX CEMENT CO LLC
BUILDING 182, CALCUTTA STR, PORT NEWARK NJ07114 US","Tampa, Florida","Elefsis, Greece",SPAR MIRA,6,,1 BLK, ,21222000.0,21222.0,21222 ET,23769000.0,974040.0,15104050,Steel,Classified: 7306.30,"PORTLAND CEMENT TYPE IL CONFORMING WITH THE REQUIREMENTS OF ASTM C595-19 (21, 222. 000 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,TITAN,Titan S.A.,"3241, 3255",exact,1.0,UPSPCIQ_874331,THE ESSEX CEMENT,,New York Region,exact,1.0,NAME_THEESSEXCEMENT,,,,,73.0,7306.0,730630.0,730630.0,direct,1.0,Steel & Metals,,Tubular Goods,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,Elefsis,Greece,4840.0, GR,Southern Europe,Europe,Manufacturing,EUR → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
PYMNPUS230032596,2/18/2023,,General Motors Llc In Co Ultium,,,,"A Pro Co., Ltd.",,,,PYMN - Pyramid Lines Singapore Pte Ltd,"GENERAL MOTORS LLC IN CO ULTIUM
7400 TOD AVE SW,, WARREN OH 44481, WARREN OH44481 US","Houston, Houston, Texas","Masan, South Korea",YASA TULIP,2301,,2 PKG, ,5300.0,5.3,5300 KG,109000.0,968630.0,20106010,Construction Machinery & Heavy Trucks,Classified: 8703.90,REPLACEMENT JIG FOR WATER DAMAGED-,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,87.0,8703.0,870390.0,870390.0,direct,1.0,General Cargo,,Machinery,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars:",hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,Masan,South Korea,,,East Asia,Asia-Pacific,Steel Origins,APAC → Houston Ship Channel,False,Small,20251206,20251207_121759,20251206,20251207_121759,2023,,
SMTHMXFLCEL2601,2/17/2023,,Cemex Construction Materials,189840945.0,,,Cemex International Sa De Cv,811645654.0,,,SMTH - Smt Shipping (Cyprus) Ltd,"CEMEX CONSTRUCTION MATERIALS
FLORIDA, LLC. 10100 KATY FREEWAY, SUITE 300 TAX ID 720296500, HOUSTON TX77043 USGREGORY C JEFFRIES","Tampa, Florida","Altamira, Mexico",CELINE C,26,,1 BLK, ,10053835.0,10053.84,10053835 KG,27950000.0,981165.0,15103020,Paper Packaging,Classified: 4819.30,GREY PORTLAND CEMENT TYPE IL (11) IN BULK,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,exact,1.0,UPSPCIQ_404061,,,,,48.0,4819.0,481930.0,481930.0,direct,1.0,Forestry,,Paper,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibers; box files, letter trays and similar articles, of paper or paperboard of a kind used in offices, shops or the like:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,Altamira,Mexico,2010.0, MX,Central America,Americas,Manufacturing,AMER → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
CGRWMAY023NB10,2/17/2023,,Cemex Southeast Llc,,,,Cemex International Sa De Cv,811645654.0,,,CGRW - Cg Railway Inc,,"Alabama State Port Authority, Mobile, Alabama","Coatzacoalcos, Mexico",MAYAN,23,9896799.0,19 CBC, CM,1899300.0,1899.3,1899300 K,5280000.0,2453.0,15103020,Paper Packaging,Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30; Classified: 4819.30,LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK; LOADED HOPPER CAR CONTAINING GREY CEMENT TYPE IL (13) IN BULK,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,parent_keyword,0.85,UPSPCIQ_404061,,,,,48.0,4819.0,481930.0,481930.0,direct,1.0,Forestry,,Paper,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibers; box files, letter trays and similar articles, of paper or paperboard of a kind used in offices, shops or the like:",hs_based,0.9,Mobile,Gulf,Mobile,Coatzacoalcos,Mexico,2010.0, MX,Central America,Americas,Manufacturing,AMER → Mobile,False,Medium,20251206,20251207_121759,20251206,20251207_121759,2023,,
THRS9V8438200101,2/16/2023,,Continental Cement Co. Llc,,,,Medcem Global Pazarlama As,,,,THRS - Thoresen & Co (Bangkok) Ltd,"CONTINENTAL CEMENT
16401 SWINGLEY RIDGE ROAD, SUITE 610, CHESTERFIELDMO 63017, TEUS","Port of Gramercy, Gramercy, Louisiana","All Other Turkey Mediterranean Region Ports, Turkey",THOR FRIENDSHIP,2301,9424601.0,1 BLK, CM,52626000.0,52626.0,52626000 K,33154000.0,5540.0,15102010,Construction Materials,Classified: 6802.91,LOW ALKALI LIMESTONE CEMENT,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,MEDCEM GLOBAL PAZARLAMA,,,exact,1.0,NAME_MEDCEMGLOBALPAZARLAMA,"QUIKRETE HOLDINGS,","Quikrete Holdings, Inc.",South Central Region,exact,1.0,UPSPCIQ_241765965,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,Lower Miss River,Gulf,Lower Miss River,All Other Turkey Mediterranean Region Ports,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Lower Miss River,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
ESOVSUHARH2303,2/15/2023,,Maxchem Bermuda Ltd.,,,,Cemex Mexico S.A. De C.V.,811645654.0,,,ESOV - Etolia Shipping Operators S A,"MAXCHEM BERMUDA LTD
3 MEADOW LANE DEVONSHIRE HAMILTON","The Port of Pensacola, Pensacola, Florida","Altamira, Mexico",SUHAR,3,8509399.0,1 DBK, ,3000000.0,3000.0,3000000 KG,26850000.0,1000.0,20106020,Industrial Machinery,Classified: 8451.29,GREY CEMENT TYPE IL IN BULK,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,,,,unmatched,0.0,,,,,,84.0,8451.0,845129.0,845129.0,direct,1.0,General Cargo,,Machinery,"Machinery (other than machines of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics; parts thereof:",hs_based,0.9,FL Panhandle,,FL Panhandle,Altamira,Mexico,2010.0, MX,Central America,Americas,Manufacturing,AMER → FL Panhandle,False,Medium,20251206,20251207_121759,20251206,20251207_121759,2023,,
ESOVSUHAR2303,2/15/2023,,Bahamas Concrete Holdings,,,,Cemex Mexico S.A. De C.V.,811645654.0,,,ESOV - Etolia Shipping Operators S A,"CEMEX INTERNATIONAL TRADING LLC
CEM PENSACOLA IMPORTS 760 SOUTH, BARRACKS WAREHOUSE 6 PENSACOLA FL, 32502 USA","The Port of Pensacola, Pensacola, Florida","Altamira, Mexico",SUHAR,3,8509399.0,1 DBK, ,2533120.0,2533.12,2533120 KG,22671000.0,1000.0,20106020,Industrial Machinery,Classified: 8451.29,GREY CEMENT TYPE IL IN BULK,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,,,,unmatched,0.0,,,,,,84.0,8451.0,845129.0,845129.0,direct,1.0,General Cargo,,Machinery,"Machinery (other than machines of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics; parts thereof:",hs_based,0.9,FL Panhandle,,FL Panhandle,Altamira,Mexico,2010.0, MX,Central America,Americas,Manufacturing,AMER → FL Panhandle,False,Medium,20251206,20251207_121759,20251206,20251207_121759,2023,,
ESOV23SUHARPNS03,2/15/2023,,Cemex Southeast Llc,,,,Cemex Mexico S.A. De C.V.,811645654.0,,,ESOV - Etolia Shipping Operators S A,"CEMEX SOUTHEAST LLC
CEM PENSACOLA IMPORTS 760 SOUTH, BARRACKS WAREHOUSE 6 PENSACOLA FL, 32502 USA","The Port of Pensacola, Pensacola, Florida","Altamira, Mexico",SUHAR,3,8509399.0,1 DBK, ,5928511.0,5928.51,5928511 KG,53060000.0,1000.0,20106020,Industrial Machinery,Classified: 8451.29,GREY CEMENT TYPE IL IN BULK,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,"CEMEX, B.","Cemex, S.A.B. De C.V.",5032,parent_keyword,0.85,UPSPCIQ_404061,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,parent_keyword,0.85,UPSPCIQ_404061,,,,,84.0,8451.0,845129.0,845129.0,direct,1.0,General Cargo,,Machinery,"Machinery (other than machines of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics; parts thereof:",hs_based,0.9,FL Panhandle,,FL Panhandle,Altamira,Mexico,2010.0, MX,Central America,Americas,Manufacturing,AMER → FL Panhandle,False,Medium,20251206,20251207_121759,20251206,20251207_121759,2023,,
CINT3675MORHER02,2/15/2023,,Argos Usa,969583546.0,,,Nuh Cimento Sanayi A.S.,,,,CINT - Cargill International S A,"ARGOS USA LLC
3015 WINDWARD PLAZA DR, ALPHARETTA, GA. 30005","Alabama State Port Authority, Mobile, Alabama","All Other Turkey Mediterranean Region Ports, Turkey",BULK COLOMBIA,7,,1 BLK, ,29000.0,29.0,29 ET,2084000.0,1.0,25203010,"Apparel, Accessories & Luxury Goods",Classified: 6204.42,28. 745 MTS GREY CEMENT,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,NUH ÇIMENTO SANAYI A.S,Nuh çimento Sanayi A.S.,,exact,1.0,UPSPCIQ_9673374,ARGOS USA,,South Central Region,exact,1.0,NAME_ARGOSUSA,,,,,62.0,6204.0,620442.0,620442.0,direct,1.0,General Cargo,,General Cargo,"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts,   trousers, bib and brace overalls, breeches and shorts (other than swimwear):",hs_based,0.9,Mobile,Gulf,Mobile,All Other Turkey Mediterranean Region Ports,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Mobile,False,Small,20251206,20251207_121759,20251206,20251207_121759,2023,,
CINT3678MORCIM02,2/14/2023,,Sesco Cement Corp.,,,,Nuh Cimento Sanayi A.S.,,,,CINT - Cargill International S A,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY SUIRE 800, HOUSTON TEXAS USA 77092, 281-319-0270","Houston, Houston, Texas","All Other Turkey Black Sea and Sea of Marmara Port, Turkey",SLNC SEVERN,1,,1 BLK, ,35000000.0,35000.0,35000 ET,350700000.0,1.0,15104025,Copper,Classified: 7401.00,"35, 000 MT PORTLAND CEMENT IN BULK",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,NUH ÇIMENTO SANAYI A.S,Nuh çimento Sanayi A.S.,,exact,1.0,UPSPCIQ_9673374,SESCO CEMENT,Sesco Cement Corp.,Southwest Region,exact,1.0,UPSPCIQ_555199289,,,,,74.0,7401.0,740100.0,740100.0,direct,1.0,Steel & Metals,,Copper,Copper mattes,hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,All Other Turkey Black Sea and Sea of Marmara Port,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
CINT3678MORCIM01,2/14/2023,,Argos Cement Llc,969583546.0,,,Nuh Cimento Sanayi A.S.,,,,CINT - Cargill International S A,"ARGOS CEMENT LLC
C3015 WINDWARD ARD PLAZA DR, ALPHARETTA GA, USA    30005","Houston, Houston, Texas","All Other Turkey Black Sea and Sea of Marmara Port, Turkey",SLNC SEVERN,1,,1 BLK, ,12500000.0,12500.0,12500 ET,125250000.0,1.0,15104025,Copper,Classified: 7401.00,"12, 500 MT PORTLAND CEMENT IN BULK",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,NUH ÇIMENTO SANAYI A.S,Nuh çimento Sanayi A.S.,,exact,1.0,UPSPCIQ_9673374,,,,unmatched,0.0,,,,,,74.0,7401.0,740100.0,740100.0,direct,1.0,Steel & Metals,,Copper,Copper mattes,hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,All Other Turkey Black Sea and Sea of Marmara Port,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNARIGIVENT0101,2/14/2023,,Houston Cement Co.,791309052.0,,791309052.0,Medcem Global Pazarlama A.S.,519966047.0,,519966047.0,DMNA - Dampskibsselskabet Norden Aktieselskab,"HOUSTON CEMENT COMPANY, L.P.
363 NORTH SAM HOUSTON PARKWAY E, SUITE 750, HOUSTON TX77060 US","Houston, Houston, Texas","All Other Turkey Mediterranean Region Ports, Turkey",RIGI VENTURE,1,,1 BLK, ,49500000.0,49500.0,49500 ET,47520000.0,978368.0,15104050,Steel,Classified: 7306.30,"ORDINARY PORTLAND CEMENT IN BULK TYPE I/II LOW ALKALI CONFORMING TO ASTM C-150 (49, 500. 00 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,MEDCEM GLOBAL PAZARLAMA A.S,,5039,exact,1.0,NAME_MEDCEMGLOBALPAZARLAMAAS,"HOUSTON CEMENT , L.P","Houston Cement Company, L.P.",Southwest Region,exact,1.0,UPSPCIQ_28943272,,,,,73.0,7306.0,730630.0,730630.0,direct,1.0,Steel & Metals,,Tubular Goods,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:",hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,All Other Turkey Mediterranean Region Ports,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
THRS9V8244160101,2/13/2023,,Holcim ( Us ) Inc.,81260273.0,,,Heracles General Cement Co.,,,,THRS - Thoresen & Co (Bangkok) Ltd,"HOLCIM US INC.
6211 N ANN ARBOR RD, DUNDEEMI 48131, US","Port of Gramercy, Gramercy, Louisiana","Aliver, Greece",SUPRA THESSAL,2301,9492440.0,1 BLK, CM,49500000.0,49500.0,49500000 K,62370000.0,5533.0,15102010,Construction Materials,Classified: 6810.99,CEMENT,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6810.0,681099.0,681099.0,direct,1.0,Construction Materials,,Cement,"Articles of cement, of concrete or of artificial stone, whether or not reinforced:",hs_based,0.9,Lower Miss River,Gulf,Lower Miss River,Aliver,Greece,4840.0, GR,Southern Europe,Europe,Manufacturing,EUR → Lower Miss River,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
VULI23306A,2/12/2023,,Vulcan Construction Materials,805344798.0,,,Agregados Del Caribe S A De C V,,,,VULI - Vulica Shipping Company Limited,"VULCAN CONSTRUCTION MATERIALS
1200 URBAN CENTER DRIVE, BIRMINGHAM AL 35242 US","Tampa, Florida","Puerto Cortes, Honduras",CSL TACOMA,23306,9640956.0,2 BLK, CF,59863800.0,59863.8,59863800 KG,,1.0,20106010,Construction Machinery & Heavy Trucks,Classified: 8902.00,"LIMESTONE IN BULK, 570, 44, 167. 7 STLIMESTONE IN BULK, 890, 21, 821 ST",Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,89.0,8902.0,890200.0,890200.0,direct,1.0,Break Bulk,Vehicles,,,hs2_chapter,0.6,Tampa Bay,Gulf,Tampa Bay,Puerto Cortes,Honduras,2150.0, HN,Central America,Americas,Agriculture,AMER → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
CSSLBAHA23005,2/10/2023,,Martin Marietta Aggregates,809750912.0,,809750912.0,Bahama Rock Ltd.,,,,CSSL - The Csl Group Inc,,"Port Panama City, Panama City, Florida","Freeport, Grand Bahama I, Bahamas",BAHAMA SPIRIT,23005,,1 BLK, ,43500000.0,43500.0,43500000 KG,46980000.0,1.0,15102010,Construction Materials,Classified: 6802.91,LIMESTONE,Panjiva-US_Imports-all-results_1_to_3558_of_3558-2025-12-03-11-05.csv,us_gulf,,,,,,,,,,,,,,,,BAHAMA ROCK,,,exact,1.0,NAME_BAHAMAROCK,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,FL Panhandle,,FL Panhandle,Freeport,Bahamas,2360.0, BS,Caribbean,Americas,Trans-shipment,AMER → FL Panhandle,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
