Bill of Lading Number,Count,Arrival Date,Matching Fields,Consignee,Consignee Industry,Consignee (Original Format),Consignee Ultimate Parent,Shipper,Shipper (Original Format),Shipper Ultimate Parent,Carrier,Notify Party,Notify Party SCAC,Shipment Origin,Shipment Destination,Shipment Destination Region,Port of Unlading,Port of Unlading Region,Port of Unlading roll,Port of Lading,Port of Lading Region,Port of Lading Country,Place of Receipt,Transport Method,Cargo,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg), Weight (t) ,Weight (Original Format), Value of Goods (USD) ,FROB,Manifest Number,Inbond Code,Industry - GICS,Number of Containers,Container Numbers,HS Code,Goods Shipped,Container Type of Service
PCMV223015,1,8/8/2023,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.; Notify Party: St Marys Cement",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,"ST MARYS CEMENT
9333 DEARBORN RD., DETROIT, MICH., 48209",,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bath, Ont, Canada",North America,Canada,"CLEVELAND, OHIO",Maritime,CEMENT CLINKER,ST MARYS CEMENT II,3015,,1 DBK, ,13505278," 13,505 ",14887 ST," $7,833,000.00 ",,000001,,15102010,1,NC,Classified: 6904.10,CEMENT CLINKER,
PCMV223014,1,8/1/2023,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.; Notify Party: St Marys Cement",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,"ST MARYS CEMENT
250 JEFFERSON AVE., CLEVELAND, OHIO, 44113",,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bath, Ont, Canada",North America,Canada,"CLEVELAND, OHIO",Maritime,Portland,ST MARYS CEMENT II,3014,,1 DBK, ,8164674," 8,165 ",9000 ST," $914,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV225006B,1,6/18/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2506B,,1 BLK, CF,3947000," 3,947 ",3947 MT," $320,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225006A,1,6/16/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2506A,,1 BLK, CF,4980000," 4,980 ",4980 MT," $403,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225009,1,6/15/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25009,,1 BLK, CF,10000000," 10,000 ",10000 MT," $810,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
CSSLCTAD25032,1,6/4/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CEMENT CLINKER,CSL TADOUSSAC,25032,,1 BLK, CF,25750000," 25,750 ",25750000 KG," $2,009,000.00 ",,000001,,15102010,1,NC,Classified: 2523.10,CEMENT CLINKER,
PCMV225007A,1,5/26/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2507A,,1 BLK, CF,4500000," 4,500 ",4500 MT," $522,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125006,1,5/20/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25006,,1 BLK, CF,7155883," 7,156 ",7888 ST," $830,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125005,1,5/12/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25005,,1 BLK, CF,5000000," 5,000 ",5000 MT," $580,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225005,1,5/10/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25005,,1 BLK, CF,10284000," 10,284 ",10284 MT," $1,193,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125004,1,5/6/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25004,,1 BLK, CF,5000000," 5,000 ",5000 MT," $340,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
CSSLCTAD25019,1,5/3/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CLINKER,CSL TADOUSSAC,25019,,1 BLK, CF,25750000," 25,750 ",25750000 KG," $28,711,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CLINKER,
PCMV225001,1,4/28/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,CEMENT IN BULK,ST MARYS CEMENT II,001,,1 BLK,49 CM,9174000," 9,174 ",9174 MT," $624,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,CEMENT IN BULK,
PCMV225004,1,4/27/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETRPOIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25004,,1 BLK, CF,10000000," 10,000 ",10000 MT," $680,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225003,1,4/15/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETRPOIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25003,,1 BLK, CM,10091000," 10,091 ",10091 MT," $686,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125001,1,4/14/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25001,,1 BLK, CM,20000000," 20,000 ",20000 MT," $1,360,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225002,1,4/7/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,CEMENT IN BULK,ST MARYS CEMENT II,002,,1 BLK,49 CM,9100000," 9,100 ",9100 MT," $619,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,CEMENT IN BULK,
CSSLCTAD25009,1,4/1/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CLINKER,CSL TADOUSSAC,25009,,1 BLK, CF,26350000," 26,350 ",26350000 KG," $28,906,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CLINKER,
CSSLCTAD24097,1,12/25/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CLINKER,CSL TADOUSSAC,24097,,1 BLK, CF,26000000," 26,000 ",26000000 KG," $38,142,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CLINKER,
CSSLCTAD24096,1,12/20/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CLINKER,CSL TADOUSSAC,24096,,1 BLK, CF,26350000," 26,350 ",26350000 KG," $38,655,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CLINKER,
PCMV224029B,1,11/25/2024,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Vessel: Saint Marys Cement Ii; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
250 JEFFERSON AVE
CLEVELAND OHIO 44113",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,3801,Maritime,Portland,SAINT MARYS CEMENT II,4029,,1 DBK, CF,4943256.5," 4,943 ",5449 ST," $361,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV224029A,1,11/25/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Vessel: Saint Marys Cement Ii; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
9333 DEARBORN RD
DETROIT, MICH. 48209",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,3801,Maritime,CEMENT CLINKER,SAINT MARYS CEMENT II,4029,,1 DBK, CF,5175496," 5,176 ",5705 ST," $11,003,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CEMENT CLINKER,
PCMV124032,1,11/20/2024,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Vessel: Saint Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
250 JEFFERSON AVE
CLEVELAND OHIO 44113",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,4101,Maritime,Portland,SAINT MARYS CEMENT,4032,,1 DBK, CF,7081494," 7,081 ",7806 ST," $517,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV224028,1,11/18/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Vessel: Saint Marys Cement Ii; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
9333 DEARBORN RD
DETROIT, MICH. 48209",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,3801,Maritime,CEMENT CLINKER,SAINT MARYS CEMENT II,4028,,1 DBK, CF,11463202," 11,463 ",12636 ST," $16,301,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CEMENT CLINKER,
PCMV224025B,1,11/17/2024,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Vessel: Saint Marys Cement Ii; Shipper (Original Format): Saint Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
250 JEFFERSON AVE
CLEVELAND OHIO 44113",Hejoassu Administração S.A.,Votorantim,"SAINT MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,4101,Maritime,Portland,SAINT MARYS CEMENT II,4025,,1 DBK, CF,4718274.5," 4,718 ",5201 ST," $344,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV224025A,1,11/17/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Vessel: Saint Marys Cement Ii; Shipper (Original Format): Saint Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
9333 DEARBORN RD
DETROIT, MICH. 48209",Hejoassu Administração S.A.,Votorantim,"SAINT MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,3801,Maritime,CEMENT CLINKER,SAINT MARYS CEMENT II,4025,,1 DBK, CF,4122253.2," 4,122 ",4544 ST," $8,764,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CEMENT CLINKER,
PCMV124031,1,11/13/2024,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Vessel: Saint Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
250 JEFFERSON AVE
CLEVELAND OHIO 44113",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,4101,Maritime,Portland,SAINT MARYS CEMENT,4031,,1 DBK, CF,6492730," 6,493 ",7157 ST," $474,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV224027,1,11/10/2024,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Vessel: Saint Marys Cement Ii; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST. MARY'S CEMENT
9333 DEARBORN RD
DETROIT, MICH. 48209",Hejoassu Administração S.A.,Votorantim,"ST. MARY'S CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,3801,Maritime,CEMENT CLINKER,SAINT MARYS CEMENT II,4027,,1 DBK, CF,8176467.5," 8,176 ",9013 ST," $11,627,000.00 ",,000001,,15102010,1,NC,Classified: 6904.90,CEMENT CLINKER,
